,ids1,ids2,images1,images2,result,tiers,votes1,votes2
0,1805,1908,https://img.animebracket.com/1e5.jpg,https://img.animebracket.com/1h0.jpg,1,1,3563,404
1,1876,1784,https://img.animebracket.com/1g4.jpg,https://img.animebracket.com/1dk.jpg,0,1,1325,1991
2,2034,2386,https://img.animebracket.com/1ki.jpg,https://img.animebracket.com/1ua.jpg,1,1,2218,933
3,1778,2444,https://img.animebracket.com/1de.jpg,https://img.animebracket.com/1vw.jpg,1,1,1988,1122
4,1850,2323,https://img.animebracket.com/1fe.jpg,https://img.animebracket.com/1sj.jpg,1,1,2652,427
5,2026,2161,https://img.animebracket.com/1ka.jpg,https://img.animebracket.com/1o1.jpg,1,1,2175,910
6,1868,1963,https://img.animebracket.com/1fw.jpg,https://img.animebracket.com/1ij.jpg,1,1,2378,821
7,2146,1857,https://img.animebracket.com/1nm.jpg,https://img.animebracket.com/1fl.jpg,1,1,1876,1082
8,1961,2404,https://img.animebracket.com/1ih.jpg,https://img.animebracket.com/1us.jpg,1,1,2897,528
9,1944,2157,https://img.animebracket.com/1i0.jpg,https://img.animebracket.com/1nx.jpg,1,1,2018,1073
10,1880,2268,https://img.animebracket.com/1g8.jpg,https://img.animebracket.com/1r0.jpg,1,1,2127,920
11,2031,1914,https://img.animebracket.com/1kf.jpg,https://img.animebracket.com/1h6.jpg,1,1,1743,1403
12,1866,2276,https://img.animebracket.com/1fu.jpg,https://img.animebracket.com/1r8.jpg,1,1,2874,540
13,2131,2155,https://img.animebracket.com/1n7.jpg,https://img.animebracket.com/1nv.jpg,0,1,1486,1513
14,2036,2446,https://img.animebracket.com/1kk.jpg,https://img.animebracket.com/1vy.jpg,1,1,2138,998
15,2253,1916,https://img.animebracket.com/1ql.jpg,https://img.animebracket.com/1h8.jpg,1,1,2226,809
16,1923,1966,https://img.animebracket.com/1hf.jpg,https://img.animebracket.com/1im.jpg,1,1,3004,412
17,2298,1906,https://img.animebracket.com/1ru.jpg,https://img.animebracket.com/1gy.jpg,1,1,1532,1360
18,2077,1928,https://img.animebracket.com/1lp.jpg,https://img.animebracket.com/1hk.jpg,1,1,2223,832
19,2140,2144,https://img.animebracket.com/1ng.jpg,https://img.animebracket.com/1nk.jpg,1,1,1829,1213
20,2247,2333,https://img.animebracket.com/1qf.jpg,https://img.animebracket.com/1st.jpg,1,1,2820,569
21,2195,1822,https://img.animebracket.com/1oz.jpg,https://img.animebracket.com/1em.jpg,0,1,1291,1472
22,2370,2012,https://img.animebracket.com/1tu.jpg,https://img.animebracket.com/1jw.jpg,1,1,2409,743
23,2242,2322,https://img.animebracket.com/1qa.jpg,https://img.animebracket.com/1si.jpg,1,1,1772,1577
24,1776,2406,https://img.animebracket.com/1dc.jpg,https://img.animebracket.com/1uu.jpg,1,1,2932,449
25,2122,2074,https://img.animebracket.com/1my.jpg,https://img.animebracket.com/1lm.jpg,0,1,1258,1512
